province_id,candidate_voting_number,candidate_id,candidate_name,candidate_surname,candidate_firstname,candidate_political_party,candidate_gender,province,candidate_votes,candidate_percentage,processed_polling_stations,expected_polling_stations,polling_stations_percentage,expected_voters,valid_votes,blank_votes,total_voters,voters_percentage
2,13.0,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,KONGO CENTRAL,847,0.11,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,7.0,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,KONGO CENTRAL,374,0.05,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,15.0,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,KONGO CENTRAL,616,0.08,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,18.0,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,KONGO CENTRAL,434,0.06,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,5.0,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,KONGO CENTRAL,691,0.09,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,4.0,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,KONGO CENTRAL,887,0.11,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,25.0,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,KONGO CENTRAL,365,0.05,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,12.0,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,KONGO CENTRAL,775,0.1,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,11.0,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,KONGO CENTRAL,322,0.04,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,1.0,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,KONGO CENTRAL,2036,0.26,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,23.0,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,KONGO CENTRAL,343,0.04,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
3,19.0,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,KWANGO,290,0.05,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,7.0,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,KWANGO,100,0.02,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,6.0,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,KWANGO,177,0.03,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,9.0,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,KWANGO,357,0.06,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,8.0,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,KWANGO,108,0.02,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,14.0,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,KWANGO,229,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,4.0,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,KWANGO,558,0.09,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,13.0,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,KWANGO,432,0.07,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,22.0,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,KWANGO,450,0.07,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,17.0,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,KWANGO,99,0.02,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,2.0,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,KWANGO,278,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,26.0,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,KWANGO,187,0.03,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,10.0,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,KWANGO,107,0.02,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,1.0,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,KWANGO,516,0.08,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,5.0,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,KWANGO,283,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,23.0,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,KWANGO,246,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,25.0,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,KWANGO,273,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,11.0,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,KWANGO,278,0.04,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,24.0,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,KWANGO,23963,3.8,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,18.0,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,KWANGO,171,0.03,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,3.0,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,KWANGO,22660,3.59,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,20.0,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,KWANGO,401903,63.67,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
3,21.0,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,KWANGO,176602,27.98,2109.0,2380.0,89.0,994679.0,631247.0,1051.0,632298.0,63.57
