province_id,ordre_bulletin,candidat_id,nom,postnom,prenom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,img
3,2,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,Kwango,278,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,26,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,Kwango,187,0.03,2109,2380,89,994679,631247,1051,632298,63.57,
3,10,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,Kwango,107,0.02,2109,2380,89,994679,631247,1051,632298,63.57,
3,1,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,Kwango,516,0.08,2109,2380,89,994679,631247,1051,632298,63.57,
3,5,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,Kwango,283,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,23,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,Kwango,246,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Kwango,273,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,Kwango,278,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,Kwango,23963,3.8,2109,2380,89,994679,631247,1051,632298,63.57,
3,18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,Kwango,171,0.03,2109,2380,89,994679,631247,1051,632298,63.57,
3,3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,Kwango,22660,3.59,2109,2380,89,994679,631247,1051,632298,63.57,
3,20,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,Kwango,401903,63.67,2109,2380,89,994679,631247,1051,632298,63.57,
3,21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,Kwango,176602,27.98,2109,2380,89,994679,631247,1051,632298,63.57,
