province_id,ordre_bulletin,candidat_id,nom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,postnom,prenom,img
3,25,1_1_1_152_272,BILE,INDEPENDANT,F,Kwango,273,0.04,2109,2380,89,994679,631247,1051,632298,63.57,BATALI,JOELLE,
3,11,1_1_1_150_270,KIKUNI,INDEPENDANT,M,Kwango,278,0.04,2109,2380,89,994679,631247,1051,632298,63.57,MASUDI,SETH,
3,24,1_1_1_133_253,MUZITO,NOU.EL,M,Kwango,23963,3.8,2109,2380,89,994679,631247,1051,632298,63.57,FUMUTSHI,ADOLPHE,
3,18,1_1_1_144_264,NKEMA LILOO,INDEPENDANT,M,Kwango,171,0.03,2109,2380,89,994679,631247,1051,632298,63.57,BOKONZI,LOLI,
3,3,1_1_1_135_255,KATUMBI,ENSEMBLE,M,Kwango,22660,3.59,2109,2380,89,994679,631247,1051,632298,63.57,CHAPWE,MOISE,
3,20,1_1_1_143_263,TSHISEKEDI,INDEPENDANT,M,Kwango,401903,63.67,2109,2380,89,994679,631247,1051,632298,63.57,TSHILOMBO,FELIX ANTOINE,
3,21,1_1_1_137_257,FAYULU,LAMUKAFAYULU,M,Kwango,176602,27.98,2109,2380,89,994679,631247,1051,632298,63.57,MADIDI,MARTIN,
3,12,1_1_1_151_271,MAJONDO,INDEPENDANT,M,Kwango,355,0.06,2109,2380,89,994679,631247,1051,632298,63.57,MWAMBA,PATRICE,
3,15,1_1_1_134_254,MUKWEGE,INDEPENDANT,M,Kwango,265,0.04,2109,2380,89,994679,631247,1051,632298,63.57,MUKENGERE,DENIS,
3,16,1_1_1_136_256,NGALASI,INDEPENDANT,M,Kwango,360,0.06,2109,2380,89,994679,631247,1051,632298,63.57,KURISINI,AGGREY,
4,21,1_1_1_137_257,FAYULU,LAMUKAFAYULU,M,Kwilu,498241,45.42,3441,4359,79,2321250,1097024,1672,1098696,47.33,MADIDI,MARTIN,
4,22,1_1_1_128_248,MATATA,LGD,M,Kwilu,528,0.05,3441,4359,79,2321250,1097024,1672,1098696,47.33,PONYO,MAPON,
4,11,1_1_1_150_270,KIKUNI,INDEPENDANT,M,Kwilu,210,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,MASUDI,SETH,
4,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Kwilu,312,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,FALAY,GEORGES,
4,2,1_1_1_129_249,MUTAMBA,DYPRO,M,Kwilu,629,0.06,3441,4359,79,2321250,1097024,1672,1098696,47.33,TUNGUNGA,CONSTANT,
4,26,1_1_1_153_273,NGILA,INDEPENDANT,M,Kwilu,226,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,,HENOCK,
4,16,1_1_1_136_256,NGALASI,INDEPENDANT,M,Kwilu,13373,1.22,3441,4359,79,2321250,1097024,1672,1098696,47.33,KURISINI,AGGREY,
4,10,1_1_1_130_250,KAZADI,INDEPENDANT,M,Kwilu,199,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,KANDA,REX,
4,25,1_1_1_152_272,BILE,INDEPENDANT,F,Kwilu,191,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,BATALI,JOELLE,
4,1,1_1_1_131_251,RADJABHO,CUC,M,Kwilu,589,0.05,3441,4359,79,2321250,1097024,1672,1098696,47.33,TEBABHO,SOBORABO,
4,19,1_1_1_141_261,TSHIANI K,INDEPENDANT,M,Kwilu,273,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,MUADIAMVITA,NOEL,
4,4,1_1_1_149_269,SESANGA,ENVOL,M,Kwilu,389,0.04,3441,4359,79,2321250,1097024,1672,1098696,47.33,HIPUNGU DJA KASENG KAPITU,DELLY,
4,23,1_1_1_132_252,DIONGO,MLP,M,Kwilu,347,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,SHAMBA,FRANCK,
4,12,1_1_1_151_271,MAJONDO,INDEPENDANT,M,Kwilu,375,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,MWAMBA,PATRICE,
4,14,1_1_1_138_258,MUDEKEREZA,INDEPENDANT,M,Kwilu,151,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,BISIMWA,JUSTIN,
4,24,1_1_1_133_253,MUZITO,NOU.EL,M,Kwilu,144946,13.21,3441,4359,79,2321250,1097024,1672,1098696,47.33,FUMUTSHI,ADOLPHE,
4,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Kwilu,290,0.03,3441,4359,79,2321250,1097024,1672,1098696,47.33,MPUTA MPUNGA,MARIE-JOSEE,
4,15,1_1_1_134_254,MUKWEGE,INDEPENDANT,M,Kwilu,464,0.04,3441,4359,79,2321250,1097024,1672,1098696,47.33,MUKENGERE,DENIS,
4,3,1_1_1_135_255,KATUMBI,ENSEMBLE,M,Kwilu,35551,3.24,3441,4359,79,2321250,1097024,1672,1098696,47.33,CHAPWE,MOISE,
4,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Kwilu,268,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,ETAFE ELIKO,JEAN CLAUDE,
4,17,1_1_1_146_266,NGOY,INDEPENDANT,M,Kwilu,114,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,ILUNGA WA NSENGA,THEODORE,
4,13,1_1_1_147_267,MASALU,INDEPENDANT,M,Kwilu,414,0.04,3441,4359,79,2321250,1097024,1672,1098696,47.33,ANEDU,ANDRE,
4,20,1_1_1_143_263,TSHISEKEDI,INDEPENDANT,M,Kwilu,398449,36.32,3441,4359,79,2321250,1097024,1672,1098696,47.33,TSHILOMBO,FELIX ANTOINE,
4,18,1_1_1_144_264,NKEMA LILOO,INDEPENDANT,M,Kwilu,143,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,BOKONZI,LOLI,
4,5,1_1_1_145_265,ANZULUNI,INDEPENDANT,M,Kwilu,216,0.02,3441,4359,79,2321250,1097024,1672,1098696,47.33,ISILOKETSHI,FLORIBERT,
4,7,1_1_1_142_262,BOLAMBA,INDEPENDANT,M,Kwilu,136,0.01,3441,4359,79,2321250,1097024,1672,1098696,47.33,,TONY CASSIUS,
5,24,1_1_1_133_253,MUZITO,NOU.EL,M,Mai-Ndombe,586,0.15,1548,1776,87,951057,395647,478,396125,41.65,FUMUTSHI,ADOLPHE,
5,21,1_1_1_137_257,FAYULU,LAMUKAFAYULU,M,Mai-Ndombe,3989,1.01,1548,1776,87,951057,395647,478,396125,41.65,MADIDI,MARTIN,
5,12,1_1_1_151_271,MAJONDO,INDEPENDANT,M,Mai-Ndombe,519,0.13,1548,1776,87,951057,395647,478,396125,41.65,MWAMBA,PATRICE,
5,13,1_1_1_147_267,MASALU,INDEPENDANT,M,Mai-Ndombe,545,0.14,1548,1776,87,951057,395647,478,396125,41.65,ANEDU,ANDRE,
5,15,1_1_1_134_254,MUKWEGE,INDEPENDANT,M,Mai-Ndombe,517,0.13,1548,1776,87,951057,395647,478,396125,41.65,MUKENGERE,DENIS,
5,14,1_1_1_138_258,MUDEKEREZA,INDEPENDANT,M,Mai-Ndombe,328,0.08,1548,1776,87,951057,395647,478,396125,41.65,BISIMWA,JUSTIN,
5,18,1_1_1_144_264,NKEMA LILOO,INDEPENDANT,M,Mai-Ndombe,263,0.07,1548,1776,87,951057,395647,478,396125,41.65,BOKONZI,LOLI,
5,3,1_1_1_135_255,KATUMBI,ENSEMBLE,M,Mai-Ndombe,5529,1.4,1548,1776,87,951057,395647,478,396125,41.65,CHAPWE,MOISE,
5,26,1_1_1_153_273,NGILA,INDEPENDANT,M,Mai-Ndombe,222,0.06,1548,1776,87,951057,395647,478,396125,41.65,,HENOCK,
5,11,1_1_1_150_270,KIKUNI,INDEPENDANT,M,Mai-Ndombe,175,0.04,1548,1776,87,951057,395647,478,396125,41.65,MASUDI,SETH,
5,25,1_1_1_152_272,BILE,INDEPENDANT,F,Mai-Ndombe,187,0.05,1548,1776,87,951057,395647,478,396125,41.65,BATALI,JOELLE,
5,5,1_1_1_145_265,ANZULUNI,INDEPENDANT,M,Mai-Ndombe,282,0.07,1548,1776,87,951057,395647,478,396125,41.65,ISILOKETSHI,FLORIBERT,
5,16,1_1_1_136_256,NGALASI,INDEPENDANT,M,Mai-Ndombe,286,0.07,1548,1776,87,951057,395647,478,396125,41.65,KURISINI,AGGREY,
5,23,1_1_1_132_252,DIONGO,MLP,M,Mai-Ndombe,240,0.06,1548,1776,87,951057,395647,478,396125,41.65,SHAMBA,FRANCK,
5,1,1_1_1_131_251,RADJABHO,CUC,M,Mai-Ndombe,1142,0.29,1548,1776,87,951057,395647,478,396125,41.65,TEBABHO,SOBORABO,
5,10,1_1_1_130_250,KAZADI,INDEPENDANT,M,Mai-Ndombe,202,0.05,1548,1776,87,951057,395647,478,396125,41.65,KANDA,REX,
5,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Mai-Ndombe,327,0.08,1548,1776,87,951057,395647,478,396125,41.65,ETAFE ELIKO,JEAN CLAUDE,
5,7,1_1_1_142_262,BOLAMBA,INDEPENDANT,M,Mai-Ndombe,410,0.1,1548,1776,87,951057,395647,478,396125,41.65,,TONY CASSIUS,
5,22,1_1_1_128_248,MATATA,LGD,M,Mai-Ndombe,322,0.08,1548,1776,87,951057,395647,478,396125,41.65,PONYO,MAPON,
5,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Mai-Ndombe,373,0.09,1548,1776,87,951057,395647,478,396125,41.65,MPUTA MPUNGA,MARIE-JOSEE,
5,17,1_1_1_146_266,NGOY,INDEPENDANT,M,Mai-Ndombe,117,0.03,1548,1776,87,951057,395647,478,396125,41.65,ILUNGA WA NSENGA,THEODORE,
5,19,1_1_1_141_261,TSHIANI K,INDEPENDANT,M,Mai-Ndombe,336,0.08,1548,1776,87,951057,395647,478,396125,41.65,MUADIAMVITA,NOEL,
5,2,1_1_1_129_249,MUTAMBA,DYPRO,M,Mai-Ndombe,1612,0.41,1548,1776,87,951057,395647,478,396125,41.65,TUNGUNGA,CONSTANT,
