voting_site_id,1_1_1_128_248,1_1_1_129_249,1_1_1_130_250,1_1_1_131_251,1_1_1_132_252,1_1_1_133_253,1_1_1_134_254,1_1_1_135_255,1_1_1_136_256,1_1_1_137_257,1_1_1_138_258,1_1_1_139_259,1_1_1_140_260,1_1_1_141_261,1_1_1_142_262,1_1_1_143_263,1_1_1_144_264,1_1_1_145_265,1_1_1_146_266,1_1_1_147_267,1_1_1_148_268,1_1_1_149_269,1_1_1_150_270,1_1_1_151_271,1_1_1_152_272,1_1_1_153_273,1_1_1_999_999
1002005,0,0,0,1,0,1,0,91,17,38,0,4,0,0,0,1704,0,1,0,0,0,1,0,1,0,0,1
1002006,0,1,0,0,0,1,4,83,7,13,0,0,0,0,0,650,0,1,0,0,0,0,0,0,1,0,2
1002007,0,3,1,1,0,1,0,79,3,23,0,0,0,0,0,1009,0,0,0,1,1,0,0,0,0,0,4
1002008,0,1,3,0,0,0,2,99,13,46,0,3,0,0,0,926,2,1,1,0,0,0,0,0,0,0,2
1002009,0,0,0,1,1,0,3,59,3,17,0,1,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0
1002010,0,6,0,1,0,1,7,215,12,37,0,1,0,0,0,1641,0,2,0,1,1,0,0,0,1,0,3
1002011,0,0,0,0,0,0,1,80,2,16,0,2,0,0,1,485,0,0,0,0,1,0,0,0,1,1,2
1002012,0,0,0,0,0,0,2,55,3,6,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0
1002013,0,2,0,3,0,0,2,102,9,20,0,2,0,0,0,1125,0,2,0,0,1,2,1,0,1,0,5
1002014,0,2,1,0,0,0,0,26,0,13,0,0,0,1,0,244,0,0,0,0,0,0,0,0,0,0,2
1002015,0,0,0,0,0,1,0,56,3,24,0,1,1,0,0,619,0,1,0,1,0,0,0,0,0,1,3
1002016,0,0,0,1,0,0,1,45,6,26,0,0,0,2,0,889,1,0,0,0,1,0,0,0,0,0,0
1002017,1,3,0,0,0,7,3,204,21,42,0,1,0,0,0,1647,0,2,0,0,0,0,0,0,1,0,5
1002018,0,1,0,0,0,3,2,88,10,28,0,1,0,1,1,866,0,1,0,0,0,0,0,0,1,0,5
1002019,0,0,0,1,0,1,0,59,5,16,0,0,0,0,0,635,0,0,1,0,0,0,0,0,0,0,3
1002020,4,0,0,0,0,0,0,82,1,22,0,0,0,6,0,728,0,0,0,2,0,0,0,0,0,0,16
1002021,0,0,0,0,0,1,2,60,13,13,0,0,0,0,0,635,0,1,0,0,0,0,0,0,0,0,0
1002022,0,1,0,0,0,0,5,90,9,19,0,3,0,0,0,993,1,0,0,1,0,0,0,1,0,0,1
1002023,0,2,1,1,0,0,3,84,6,19,0,5,0,0,0,828,1,1,0,0,0,1,0,0,1,0,8
1002024,0,0,0,0,0,0,3,121,6,39,0,1,1,0,1,1057,0,1,0,0,1,0,1,0,0,0,1
1002025,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
1002026,0,4,0,0,2,7,7,275,14,59,0,3,0,0,1,2696,0,0,1,1,1,0,0,0,2,1,3
1002027,1,1,0,1,0,0,1,206,7,41,1,2,0,0,0,1389,0,0,0,0,1,0,0,0,1,0,10
1002028,1,0,1,0,0,0,2,178,8,47,0,0,1,0,0,1810,0,1,0,2,2,1,0,1,1,0,3
1002029,0,1,0,0,0,0,0,74,6,23,0,0,0,0,0,581,0,0,1,0,0,0,0,0,1,0,1
1002030,0,3,4,0,0,6,2,88,9,32,0,7,0,1,3,1270,0,3,1,1,3,3,3,0,0,1,1
1002031,0,0,0,0,0,3,2,114,5,42,0,2,0,0,1,1162,0,2,0,4,0,0,1,0,0,0,2
1002032,0,0,0,0,0,0,2,49,2,9,0,5,0,0,0,700,0,0,1,0,0,0,1,0,0,0,0
1002033,0,2,0,0,0,1,4,124,1,23,0,6,0,0,0,940,0,2,0,1,0,0,0,0,0,0,4
1002034,0,0,0,0,0,2,3,91,5,19,0,0,0,0,1,1062,1,0,1,0,0,0,0,0,0,0,1
1002035,0,7,0,0,0,6,7,101,8,30,0,1,0,0,0,785,0,0,0,0,0,0,0,0,0,0,3
1002036,0,11,2,2,1,3,2,107,7,55,1,3,1,0,1,871,0,1,1,3,2,6,2,1,2,1,0
1002037,0,2,0,4,1,1,1,111,11,29,0,3,0,1,0,1108,0,1,1,0,0,2,0,0,0,0,2
1002038,0,1,0,2,0,3,0,125,5,54,0,2,1,0,0,1077,0,0,0,0,1,0,0,0,1,1,4
1002039,0,0,1,0,0,1,2,57,8,31,0,0,0,0,0,716,0,0,0,0,1,0,0,0,0,0,2
1002040,0,2,1,0,0,0,2,75,8,22,1,0,0,0,1,774,0,0,0,0,0,0,0,0,0,0,2
1002041,0,2,0,1,0,0,2,108,10,20,0,0,0,0,0,815,0,2,0,0,0,0,0,1,0,0,0
1002042,0,1,0,0,0,0,0,91,0,16,0,1,0,0,1,509,0,1,0,0,0,0,0,0,0,0,0
1002043,0,0,0,0,0,0,2,116,3,36,0,1,0,0,0,783,0,0,1,0,0,0,0,0,0,0,2
1002044,1,2,0,0,0,8,2,137,1,31,0,0,0,0,1,820,0,2,0,1,1,1,0,0,0,0,11
1002045,0,1,0,0,0,1,1,75,2,12,0,2,0,0,1,1092,0,0,0,0,0,2,0,1,0,1,3
1002046,0,2,0,0,0,1,0,13,0,6,1,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0
1002047,0,2,0,0,0,2,2,67,17,54,0,1,0,0,0,1231,0,1,2,1,1,0,0,0,1,1,0
1002048,0,1,0,1,1,1,0,53,4,23,0,0,0,0,0,728,0,0,0,0,1,0,0,0,1,0,1
1002049,0,6,0,0,0,9,2,92,7,86,0,1,0,0,1,998,0,0,0,0,0,1,1,0,1,0,0
